"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"860Z200US00784","ZCTA5 00784","14748","554","10487","580","4261","485",
"860Z200US00786","ZCTA5 00786","73","72","73","72","0","15",
"860Z200US00791","ZCTA5 00791","17283","763","12828","654","4455","471",
"860Z200US00794","ZCTA5 00794","9374","513","6421","474","2953","426",
"860Z200US00795","ZCTA5 00795","14801","556","11433","526","3368","345",
"860Z200US00901","ZCTA5 00901","3189","277","1375","248","1814","260",
"860Z200US00906","ZCTA5 00906","30","30","30","30","0","15",
"860Z200US00907","ZCTA5 00907","8306","519","5217","451","3089","400",
"860Z200US00909","ZCTA5 00909","2625","272","1116","196","1509","233",
"860Z200US00911","ZCTA5 00911","3885","390","1968","259","1917","328",
"860Z200US00912","ZCTA5 00912","2841","335","1468","229","1373","269",
"860Z200US00913","ZCTA5 00913","3044","319","510","146","2534","272",
"860Z200US00915","ZCTA5 00915","10585","517","4274","361","6311","477",
"860Z200US00917","ZCTA5 00917","8233","481","3951","353","4282","383",
"860Z200US00918","ZCTA5 00918","8070","673","3830","516","4240","499",
"860Z200US00920","ZCTA5 00920","7119","386","3823","313","3296","304",
"860Z200US00921","ZCTA5 00921","14100","644","6320","505","7780","574",
"860Z200US00923","ZCTA5 00923","10540","539","4712","407","5828","483",
"860Z200US00924","ZCTA5 00924","20114","950","10294","656","9820","712",
"860Z200US00925","ZCTA5 00925","2400","346","461","131","1939","319",
"860Z200US00926","ZCTA5 00926","37761","1245","27602","1188","10159","955",
"860Z200US00927","ZCTA5 00927","6161","467","3321","379","2840","341",
"860Z200US00934","ZCTA5 00934","20","21","0","15","20","21",
"860Z200US00949","ZCTA5 00949","26103","908","18940","787","7163","642",
"860Z200US00950","ZCTA5 00950","0","15","0","15","0","15",
"860Z200US00951","ZCTA5 00951","170","67","57","37","113","60",
"860Z200US00952","ZCTA5 00952","3384","333","2209","324","1175","243",
"860Z200US00953","ZCTA5 00953","23070","652","18841","605","4229","469",
"860Z200US00956","ZCTA5 00956","26223","896","18340","827","7883","619",
"860Z200US00957","ZCTA5 00957","15700","657","11591","478","4109","421",
"860Z200US00959","ZCTA5 00959","18719","662","12349","629","6370","540",
"860Z200US00960","ZCTA5 00960","0","15","0","15","0","15",
"860Z200US00961","ZCTA5 00961","11489","588","8175","467","3314","396",
"860Z200US00962","ZCTA5 00962","7760","344","4278","316","3482","321",
"860Z200US00965","ZCTA5 00965","2084","201","1283","168","801","149",
"860Z200US00966","ZCTA5 00966","7117","561","5124","470","1993","366",
"860Z200US00968","ZCTA5 00968","1903","215","1415","194","488","113",
"860Z200US00969","ZCTA5 00969","16264","800","11619","731","4645","464",
"860Z200US00971","ZCTA5 00971","9811","608","6787","549","3024","392",
"860Z200US00976","ZCTA5 00976","23850","843","17539","767","6311","789",
"860Z200US00979","ZCTA5 00979","8201","618","5328","520","2873","412",
"860Z200US00982","ZCTA5 00982","5786","380","3591","346","2195","274",
"860Z200US00983","ZCTA5 00983","13006","804","8561","654","4445","502",
"860Z200US00985","ZCTA5 00985","12622","683","8441","545","4181","504",
"860Z200US00987","ZCTA5 00987","20772","787","15883","761","4889","590",
"860Z200US01001","ZCTA5 01001","6813","417","4964","432","1849","282",
"860Z200US01002","ZCTA5 01002","9715","427","4729","377","4986","438",
"860Z200US01003","ZCTA5 01003","34","21","0","21","34","21",
"860Z200US01005","ZCTA5 01005","1688","185","1367","211","321","140",
"860Z200US01007","ZCTA5 01007","6429","359","5409","325","1020","247",
"860Z200US01008","ZCTA5 01008","585","66","552","67","33","24",
"860Z200US01009","ZCTA5 01009","367","151","210","119","157","97",
"860Z200US01010","ZCTA5 01010","1479","110","1292","97","187","98",
"860Z200US01011","ZCTA5 01011","446","57","371","57","75","37",
"860Z200US01012","ZCTA5 01012","164","47","124","41","40","26",
"860Z200US01013","ZCTA5 01013","9549","484","4914","469","4635","452",
"860Z200US01020","ZCTA5 01020","13578","521","8110","402","5468","532",
"860Z200US01022","ZCTA5 01022","1069","178","824","154","245","114",
"860Z200US01026","ZCTA5 01026","443","66","379","58","64","38",
"860Z200US01027","ZCTA5 01027","8576","308","5350","455","3226","388",
"860Z200US01028","ZCTA5 01028","5857","300","5059","309","798","200",
"860Z200US01029","ZCTA5 01029","305","58","286","61","19","21",
"860Z200US01030","ZCTA5 01030","4979","355","3725","373","1254","266",
"860Z200US01031","ZCTA5 01031","697","94","364","62","333","102",
"860Z200US01032","ZCTA5 01032","247","52","219","48","28","18",
"860Z200US01033","ZCTA5 01033","2539","176","2401","186","138","117",
"860Z200US01034","ZCTA5 01034","877","96","813","95","64","30",
"860Z200US01035","ZCTA5 01035","2293","149","1703","190","590","187",
"860Z200US01036","ZCTA5 01036","1965","85","1902","90","63","41",
"860Z200US01037","ZCTA5 01037","246","88","232","86","14","13",
"860Z200US01038","ZCTA5 01038","1062","110","834","123","228","89",
"860Z200US01039","ZCTA5 01039","693","97","610","90","83","36",
"860Z200US01040","ZCTA5 01040","15524","488","6451","531","9073","470",
"860Z200US01050","ZCTA5 01050","1019","107","878","105","141","52",
"860Z200US01053","ZCTA5 01053","791","168","607","158","184","93",
"860Z200US01054","ZCTA5 01054","714","99","628","93","86","31",
"860Z200US01056","ZCTA5 01056","8502","281","6326","403","2176","289",
"860Z200US01057","ZCTA5 01057","3443","189","2880","193","563","176",
"860Z200US01060","ZCTA5 01060","7481","390","3395","327","4086","345",
"860Z200US01062","ZCTA5 01062","4216","319","3199","288","1017","217",
"860Z200US01063","ZCTA5 01063","6","6","0","14","6","6",
"860Z200US01066","ZCTA5 01066","60","56","60","56","0","14",
"860Z200US01068","ZCTA5 01068","640","53","573","54","67","28",
"860Z200US01069","ZCTA5 01069","4036","343","2988","329","1048","275",
"860Z200US01070","ZCTA5 01070","247","35","230","35","17","14",
"860Z200US01071","ZCTA5 01071","536","84","478","87","58","34",
"860Z200US01072","ZCTA5 01072","605","72","553","71","52","15",
"860Z200US01073","ZCTA5 01073","2464","172","2207","179","257","148",
"860Z200US01074","ZCTA5 01074","231","132","42","49","189","128",
"860Z200US01075","ZCTA5 01075","7246","281","5573","312","1673","244",
"860Z200US01077","ZCTA5 01077","3810","176","3096","263","714","229",
"860Z200US01079","ZCTA5 01079","138","75","96","59","42","60",
"860Z200US01080","ZCTA5 01080","1007","154","590","156","417","133",
"860Z200US01081","ZCTA5 01081","678","81","616","80","62","18",
"860Z200US01082","ZCTA5 01082","4647","230","3476","264","1171","217",
"860Z200US01083","ZCTA5 01083","1108","245","695","217","413","206",
"860Z200US01084","ZCTA5 01084","50","22","44","23","6","7",
"860Z200US01085","ZCTA5 01085","15994","575","10975","491","5019","562",
"860Z200US01088","ZCTA5 01088","325","131","185","82","140","123",
